Species,Calling_place,log_DF,log_maleSVL,log_femaleSVL,log_SDI,Dominant_frequency,Min_Dominant_frequency,Max_Dominant_frequency,SDI,SVL_male,Min_SVL_Male,Max_SVL_Male,n_Male,SVL_female,Min_SVL_Female,Max_SVL_Female,n_Female,Group,references_svl,
Aplastodiscus_albosignatus,lotic,3.419955748,1.630936119,1.653212514,0.01742727823,2630,2610,2660,1.040943789,42.75,39,46.5,NA,45,NA,NA,NA,Aplastodiscus albosignatus,Abrunhosa et al. (2005),
Aplastodiscus_albofrenatus,ambiguous,3.397940009,1.59439255,NA,NA,2500,2200,2800,NA,39.3,38,41.6,10,NA,NA,NA,NA,Aplastodiscus albofrenatus,Heyer et al. (1990),
Aplastodiscus_arildae,ambiguous,3.382557322,1.557988148,1.603144373,0.04515622426,2413,2120,2653,1.109573879,36.14,40.7,42.1,3,40.1,NA,NA,NA,Aplastodiscus albofrenatus,Orrico et al. (2006),
Aplastodiscus_cavicola,lotic,2.84509804,1.550839605,NA,NA,700,680,790,NA,35.55,33.8,37.3,NA,NA,NA,NA,NA,Aplastodiscus albosignatus,"Cruz & Peixoto (1984), Abrunhosa et al. (2005)",
Aplastodiscus_cochranae,ambiguous,3.33243846,1.639087871,1.680063427,0.04097555628,2150,1700,2600,1.098943985,43.56,41,46.46,25,47.87,45.41,50.33,2,Aplastodiscus perviridis,Garcia et al. (2001),
Aplastodiscus_ehrhardti,lotic,3.428134794,1.518777069,1.54740546,0.02862839078,2680,2600,2800,1.068140521,33.02,NA,NA,NA,35.27,NA,NA,NA,Aplastodiscus albofrenatus,Hartmann et al. (2004), Conte et al. (2005)
Aplastodiscus_eugenioi,lotic,3.361727836,1.536558443,1.574031268,0.03747282513,2300,2100,2500,1.090116279,34.4,30.7,36.1,18,37.5,36,39,2,Aplastodiscus albofrenatus,Carvalho et al. (2005),
Aplastodiscus_ibirapitanga,ambiguous,2.913813852,1.591064607,1.619615006,0.02855039874,820,740,900,1.067948718,39,37,41,10,41.65,39.9,43.4,3,Aplastodiscus albosignatus,Cruz et al. (2003), Abrunhosa et al. (2005)
Aplastodiscus_leucopygius,lentic,3.183269844,1.612783857,NA,NA,1525,1250,1800,NA,41,38.2,44.2,7,NA,NA,NA,NA,Aplastodiscus albosignatus,Zina & Haddad (2006),
Aplastodiscus_lutzorum,ambiguous,3.306853749,1.525044807,1.527629901,0.002585093725,2027,1884,2156,1.005970149,33.5,30.7,36,25,33.7,33.7,33.7,1,Aplastodiscus perviridis,Berneck et al. (2017),
Aplastodiscus_perviridis,ambiguous,3.352182518,1.59835271,1.648896448,0.05054373818,2250,2100,2500,1.123424105,39.66,34.5,46.12,30,44.5,44.53,44.58,2,Aplastodiscus perviridis,Garcia et al. (2001),
Aplastodiscus_sibilatus,ambiguous,3.387389826,1.50242712,NA,NA,2440,2370,2520,NA,31.8,30,33.6,6,NA,NA,NA,NA,Aplastodiscus sibilatus,Cruz et al. (2003), Abrunhosa et al. (2005)
Aplastodiscus_weygoldti,ambiguous,3.413467413,1.591064607,NA,NA,2591,2284,2756,NA,39,38,40,2,NA,NA,NA,NA,Aplastodiscus albofrenatus,Orrico et al. (2006),
Boana_aguilari,lentic,3.033423755,1.606381365,1.64738297,0.04100160501,1080,NA,NA,1.099009901,40.4,33.7,43.8,14,44.4,33.7,50,7,Boana pulchella,Lehr et al. (2010),
Boana_albomarginata,lentic,3.155639634,1.69019608,1.758911892,0.06871581221,1431,1342,1605,1.171428571,49,44,55,113,57.4,52.9,61.3,17,Boana faber,"Giasson & Haddad (2006, 2007)",
Boana_albopunctata,lentic,3.344392274,1.698970004,1.781755375,0.08278537032,2210,1980,2330,1.21,50,40,60,NA,60.5,55,66,NA,Boana_albopunctata,Lutz (1973), Toledo et al. (2007)
Boana_alfaroi,lentic,3.317854489,1.515873844,1.648360011,0.1324861672,2079,1924,2032,1.356707317,32.8,27.9,36.3,32,44.5,39.7,49.2,12,Boana_albopunctata,Caminer & Ron (2014),
Boana_almendarizae,lentic,3.290924559,1.575649615,1.682235357,0.106585742,1954,1828,2115,1.27816153,37.64,34.31,44.56,23,48.11,37.8,51.94,4,Boana_albopunctata,Caminer & Ron (2014),
Boana_appendiculata,lentic,2.988558956,1.653212514,1.804820679,0.1516081647,974,795,1434,1.417777777,45.0,38.5,53.1,NA,63.8,50.2,72.6,NA,Boana_semilineata,Caminer & Ron (2020),
Boana_balzani,lotic,3.06069784,1.702430536,1.706717782,0.004287245925,1150,NA,NA,1.009920635,50.4,NA,NA,61,50.9,NA,NA,8,Boana pulchella,Duellman et al. (1997),
Boana_bischoffi,lentic,3.224791956,1.607455023,1.765668555,NA,1678,1462,1894,NA,40.5,38.4,43.5,NA,NA,57,59.6,NA,Boana pulchella,Caorsi et al. (2017),
Boana_boans,ambiguous,2.939019776,2.078819183,2.067814511,-0.01100467207,869,832,910,0.974979149,119.9,100.7,131.9,10,116.9,116.3,117.5,2,Boana semilineata,Duellman (1970),
Boana_caingua,lentic,3.567261692,1.561101384,1.645127399,0.08402601544,3692,3375,3937,1.213461538,36.4,32.95,39.78,NA,44.17,43.66,44.68,2,Boana pulchella,Campos (2015),
